Acronym, ID, redgreenblue
mtg, 681, 204204204
mp, 673, 204204204
sm, 802, 204204204
fr, 595, 204204204
hbc, 611, 204204204
VL, 81, 170170170
SEZ, 98, 170170170
chpl, 108, 170170170
V3, 129, 170170170
AQ, 140, 170170170
V4, 145, 170170170
V4r, 153, 170170170
c, 164, 170170170
