Acronym, ID, redgreenblue
ProS, 484682470, 8818672
ProSd, 484682475, 8818672
ProSd-m, 484682479, 8818672
ProSd-sp, 484682483, 8618475
ProSd-sr, 484682487, 8818672
ProSv, 484682492, 8818672
ProSv-m, 484682496, 8818672
ProSv-sp, 484682500, 8618475
Prosv-sr, 484682504, 8818672
HATA, 589508447, 5118550
APr, 484682508, 5118550
CTXsp, 703, 138218135
6b, 16, 138218135
CLA, 583, 138218135
EP, 942, 160238157
EPd, 952, 160238157
EPv, 966, 160238157
LA, 131, 144235141
BLA, 295, 157231156
BLAa, 303, 157231156
BLAp, 311, 157231156
BLAv, 451, 157231156
BMA, 319, 132234129
BMAa, 327, 132234129
BMAp, 334, 132234129
PA, 780, 151236147
CNU, 623, 152214249
STR, 477, 152214249
STRd, 485, 152214249
CP, 672, 152214249
STRv, 493, 128205248
ACB, 56, 128205248
FS, 998, 128205248
OT, 754, 128205248
isl, 481, 128205248
islm, 489, 128205248
OT1-3, 144, 128205248
OT1, 458, 128205248
OT2, 465, 128205248
OT3, 473, 128205248
LSS, 549009199, 128205248
LSX, 275, 144203237
LS, 242, 144203237
LSc, 250, 144203237
LSr, 258, 144203237
LSv, 266, 144203237
SF, 310, 144203237
SH, 333, 144203237
sAMY, 278, 128192226
AAA, 23, 128192226
BA, 292, 128192226
CEA, 536, 128192226
CEAc, 544, 128192226
CEAl, 551, 128192226
CEAm, 559, 128192226
IA, 1105, 128192226
MEA, 403, 128192226
MEAad, 411, 128192226
MEAav, 418, 128192226
MEApd, 426, 128192226
MEApd-a, 472, 128192226
MEApd-b, 480, 128192226
MEApd-c, 487, 128192226
MEApv, 435, 128192226
PAL, 803, 133153204
PALd, 818, 133153204
GPe, 1022, 133153204
GPi, 1031, 133153204
PALv, 835, 162177216
SI, 342, 162177216
MA, 298, 162177216
PALm, 826, 150167211
MSC, 904, 150167211
MS, 564, 150167211
NDB, 596, 150167211
TRS, 581, 150167211
PALc, 809, 179192223
BST, 351, 179192223
BSTa, 359, 179192223
BSTal, 537, 179192223
BSTam, 498, 179192223
BSTdm, 505, 179192223
BSTfu, 513, 179192223
BSTju, 546, 179192223
BSTmg, 521, 179192223
BSTov, 554, 179192223
BSTrh, 562, 179192223
BSTv, 529, 179192223
BSTp, 367, 179192223
BSTd, 569, 179192223
BSTpr, 578, 179192223
BSTif, 585, 179192223
BSTtr, 594, 179192223
BSTse, 602, 179192223
BAC, 287, 179192223
BS, 343, 255112128
IB, 1129, 255112128
TH, 549, 255112128
DORsm, 864, 255128132
VENT, 637, 255128132
VAL, 629, 255128132
VM, 685, 255128132
VP, 709, 255128132
VPL, 718, 255128132
VPLpc, 725, 255128132
VPM, 733, 255128132
VPMpc, 741, 255128132
PoT, 563807435, 255128132
SPF, 406, 255128132
SPFm, 414, 255128132
SPFp, 422, 255128132
SPA, 609, 255128132
PP, 1044, 255128132
GENd, 1008, 255128132
MG, 475, 255128132
MGd, 1072, 255128132
MGv, 1079, 255128132
MGm, 1088, 255128132
LGd, 170, 255128132
LGd-sh, 496345664, 255128132
LGd-co, 496345668, 255128132
LGd-ip, 496345672, 255128132
DORpm, 856, 255144159
LAT, 138, 255144159
LP, 218, 255144159
PO, 1020, 255144159
POL, 1029, 255144159
SGN, 325, 255144159
Eth, 560581551, 255144159
REth, 560581555, 255144159
ATN, 239, 255144159
AV, 255, 255144159
AM, 127, 255144159
AMd, 1096, 255144159
AMv, 1104, 255144159
AD, 64, 255144159
IAM, 1120, 255144159
IAD, 1113, 255144159
LD, 155, 255144159
MED, 444, 255144159
IMD, 59, 255144159
MD, 362, 255144159
MDc, 617, 255144159
MDl, 626, 255144159
MDm, 636, 255144159
SMT, 366, 255144159
PR, 1077, 255144159
MTN, 571, 255144159
PVT, 149, 255144159
PT, 15, 255144159
RE, 181, 255144159
Xi, 560581559, 255144159
ILM, 51, 255144159
RH, 189, 255144159
CM, 599, 255144159
PCN, 907, 255144159
CL, 575, 255144159
PF, 930, 255144159
PIL, 560581563, 255144159
RT, 262, 255144159
GENv, 1014, 255144159
IGL, 27, 255144159
IntG, 563807439, 255144159
LGv, 178, 255144159
LGvl, 300, 255144159
LGvm, 316, 255144159
SubG, 321, 255144159
EPI, 958, 255144159
MH, 483, 255144159
LH, 186, 255144159
PIN, 953, 255144159
HY, 1097, 2306856
PVZ, 157, 2559380
SO, 390, 2559380
ASO, 332, 2559380
NC, 432, 2559380
PVH, 38, 2559380
PVHm, 71, 2559380
PVHam, 47, 2559380
PVHmm, 79, 2559380
PVHpm, 103, 2559380
PVHpml, 652, 2559380
PVHpmm, 660, 2559380
PVHp, 94, 2559380
PVHap, 55, 2559380
PVHmpd, 87, 2559380
PVHpv, 110, 2559380
PVa, 30, 2559380
PVi, 118, 2559380
ARH, 223, 2559380
PVR, 141, 2558571
ADP, 72, 2558571
AHA, 80, 2558571
AVP, 263, 2558571
AVPV, 272, 2558571
DMH, 830, 2558571
DMHa, 668, 2558571
DMHp, 676, 2558571
DMHv, 684, 2558571
MEPO, 452, 2558571
MPO, 523, 2558571
OV, 763, 2558571
PD, 914, 2558571
PS, 1109, 2558571
PSCH, 1124, 2558571
PVp, 126, 2558571
PVpo, 133, 2558571
SBPV, 347, 2558571
SCH, 286, 2558571
SFO, 338, 2558571
VMPO, 576073699, 2558571
VLPO, 689, 2558571
MEZ, 467, 2557662
